lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
orcd,NA,NA,NA,NA,initial_plant,orcd,"1,1000,0,0,1,1000",NA
orcd,6,1,6,30,harvest_only,orcd,orchard,NA
frst,NA,NA,NA,NA,initial_plant,frst,"2,50000,0,0,1,10000",NA
frse,NA,NA,NA,NA,initial_plant,frse,"2,50000,0,0,1,10000",NA
frsd,NA,NA,NA,NA,initial_plant,frsd,"2,50000,0,0,1,10000",NA
wetl,NA,NA,NA,NA,initial_plant,wetl,"2,50000,0,0,1,10000",NA
fesc1,NA,NA,NA,NA,initial_plant,fesc,"1,1000,0,0,1,1000",NA
fesc1,6,15,6,30,harvest_only,fesc,hay_cut_low,NA
fesc1,9,1,9,15,harvest_only,fesc,hay_cut_low,NA
alfa1,NA,NA,NA,NA,initial_plant,lupn,"1,1000,0,0,1,1000",NA
alfa1,4,1,4,15,fertilizer,elem_n,broadcast,35
alfa1,8,20,8,30,harvest_only,lupn,grain,NA
urld,NA,NA,NA,NA,initial_plant,rnge,"1,1000,0,0,1,1000",NA
urld,9,1,9,1,harvest_only,rnge,grass_mulch,NA
urhd,NA,NA,NA,NA,initial_plant,rnge,"1,1000,0,0,1,1000",NA
urhd,9,1,9,1,harvest_only,rnge,grass_mulch,NA
urhd_drn,NA,NA,NA,NA,initial_plant,rnge,"1,1000,0,0,1,1000",NA
urhd_drn,9,1,9,1,harvest_only,rnge,grass_mulch,NA
urld_drn,NA,NA,NA,NA,initial_plant,rnge,"1,1000,0,0,1,1000",NA
urld_drn,9,1,9,1,harvest_only,rnge,grass_mulch,NA
fesc1_drn,NA,NA,NA,NA,initial_plant,fesc,"1,1000,0,0,1,1000",NA
fesc1_drn,6,15,6,30,harvest_only,fesc,hay_cut_low,NA
fesc1_drn,9,1,9,15,harvest_only,fesc,hay_cut_low,NA
frst_drn,NA,NA,NA,NA,initial_plant,frst,"2,50000,0,0,1,10000",NA
frse_drn,NA,NA,NA,NA,initial_plant,frse,"2,50000,0,0,1,10000",NA
frsd_drn,NA,NA,NA,NA,initial_plant,frsd,"2,50000,0,0,1,10000",NA
orcd_drn,NA,NA,NA,NA,initial_plant,orcd,"1,1000,0,0,1,1000",NA
orcd_drn,6,1,6,30,harvest_only,orcd,orchard,NA
alfa1_drn,NA,NA,NA,NA,initial_plant,lupn,"1,1000,0,0,1,1000",NA
alfa1_drn,4,1,4,15,fertilizer,elem_n,broadcast,35
alfa1_drn,8,20,8,30,harvest_only,lupn,grain,NA
wetl_drn,NA,NA,NA,NA,initial_plant,wetl,"2,50000,0,0,1,10000",NA
